,birthyear,author,title,pub_year
1242,1862.0,O. Henry,Rolling Stones,
1243,1854.0,F. Marion Crawford,The Witch of Prague: A Fantastic Tale,
1244,1867.0,John Galsworthy,To Let,
1245,1855.0,Louis Becke,By Reef and Palm,
1246,1855.0,Marie Corelli,Thelma,
1247,,Margaret Pedler,The Lamp of Fate,
1248,1863.0,William John Locke,Simon the Jester,
1249,1881.0,P. G. Wodehouse,Love Among the Chickens,1906.0
1250,1855.0,Marie Corelli,The Secret Power,1921.0
1251,1870.0,Henry Handel Richardson,Australia Felix,1917.0
1252,1797.0,Alfred de Vigny,Cinq Mars,
1253,1850.0,Pierre Loti,Madame Chrysantheme,
1254,1832.0,Emile Gaboriau,The Honor of the Name,
1255,1840.0,Rosa Nouchette Carey,Herb of Grace,
1256,1865.0,Lucy Fitch Perkins,The Dutch Twins,
1257,1869.0,Stephen Leacock,Arcadian Adventures with the Idle Rich,
1258,1787.0,Eliza Lee Cabot Follen,Travellers' Stories,
1259,1787.0,Eliza Lee Cabot Follen,Who Spoke Next,
1260,1852.0,George Moore,The Untilled Field,
1261,1839.0,Walter Pater,Imaginary Portraits,
1262,1787.0,Eliza Lee Cabot Follen,Conscience,
1263,1787.0,Eliza Lee Cabot Follen,What the Animals Do and Say,
1264,1819.0,Herman Melville,Omoo: Adventures in the South Seas,
1265,1869.0,Algernon Blackwood,The Garden of Survival,1918.0
1266,1846.0,Anna Katharine Green,The Leavenworth Case,1878.0
1267,1787.0,Eliza Lee Cabot Follen,The Talkative Wig,
1268,1878.0,Mary Grant Bruce,Mates at Billabong,
1269,1851.0,Campbell Praed,Lady Bridget in the Never-Never Land: a story of Australian life,
1270,1823.0,Charlotte Mary Yonge,Nuttie's Father,1885.0
1271,1839.0,Walter Pater,Marius the Epicurean — Volume 1,
1272,1839.0,Walter Pater,Marius the Epicurean — Volume 2,
1273,1856.0,H. Rider Haggard,Swallow: A Tale of the Great Trek,
1274,1881.0,P. G. Wodehouse,The Intrusion of Jimmy,
1275,1854.0,Oscar Wilde,The Picture of Dorian Gray,1890.0
1276,1877.0,Rex Beach,The Barrier,
1277,1721.0,T. Smollett,The Adventures of Peregrine Pickle,
1278,1721.0,T. Smollett,The Adventures of Roderick Random,
1279,1865.0,Lucy Fitch Perkins,The Scotch Twins,
1280,1789.0,James Fenimore Cooper,The Monikins,1835.0
1281,1844.0,Maurice Thompson,Alice of Old Vincennes,1900.0
1282,1835.0,Augusta J. Evans,At the Mercy of Tiberius,
1283,1880.0,Kathleen Norris,The Treasure,
1284,1789.0,James Fenimore Cooper,Oak Openings,
1285,1882.0,James Joyce,A Portrait of the Artist as a Young Man,1918.0
1286,1844.0,Ada Cambridge,Sisters,
1287,1859.0,Fergus Hume,The Mystery of a Hansom Cab,1886.0
1288,1825.0,Catherine Helen Spence,Mr. Hogarth's Will,
1289,,Victor Appleton,Tom Swift and His Wireless Message,1911.0
1290,,Victor Appleton,Tom Swift and His Motor-Cycle,
1291,1866.0,E. Phillips Oppenheim,Jeanne of the Marshes,
1292,1823.0,Charlotte Mary Yonge,Dynevor Terrace,
1293,1823.0,Charlotte Mary Yonge,Dynevor Terrace,
1294,1885.0,D. H. Lawrence,Women in Love,1920.0
1295,1890.0,Bart Haley,In the Sweet Dry and Dry,
1296,1843.0,Henry James,The Golden Bowl,1904.0
1297,1823.0,Charlotte Mary Yonge,Abbeychurch,
1298,1810.0,Elizabeth Gaskell,Cousin Phillis,1864.0
1299,1837.0,William Dean Howells,Ragged Lady,
1300,1810.0,Elizabeth Gaskell,Wives and Daughters,1864.0
1301,1810.0,Elizabeth Gaskell,Ruth,1853.0
1302,1810.0,Elizabeth Gaskell,North and South,1855.0
1303,1842.0,John Habberton,Helen's Babies,
1304,1875.0,Isabel Ecclestone Mackay,The Window-Gazer,
1305,1863.0,William John Locke,The Red Planet,
1306,1880.0,Kathleen Norris,The Rich Mrs. Burgoyne,
1307,1848.0,James Otis,"Neal, the Miller: A Son of Liberty",
1308,1852.0,George Hartmann,"Tales of Aztlan; The Romance of a Hero of Our Late Spanish-American War, Incidents of Interest from the Life of a Western Pioneer and Other Tales",
1309,1823.0,Charlotte Mary Yonge,Friarswood Post Office,
1310,1857.0,George Gissing,Eve's Ransom,1895.0
1311,1857.0,George Gissing,The Paying Guest,1895.0
1312,1857.0,George Gissing,The Whirlpool,1897.0
1313,1882.0,James Joyce,Ulysses,1922.0
1314,1857.0,George Gissing,The Nether World,1889.0
1315,1857.0,George Gissing,Thyrza,
1316,1857.0,George Gissing,Denzil Quarrier,1892.0
1317,1857.0,George Gissing,Our Friend the Charlatan,1901.0
1318,1857.0,George Gissing,The Unclassed,1884.0
1319,1857.0,George Gissing,Veranilda,1904.0
1320,1857.0,George Gissing,In the Year of Jubilee,1894.0
1321,1857.0,George Gissing,The Town Traveller,1898.0
1322,1857.0,George Gissing,Demos,1886.0
1323,1857.0,George Gissing,Will Warburton,1905.0
1324,1857.0,George Gissing,The Emancipated,1890.0
1325,1857.0,George Gissing,A Life's Morning,1888.0
1326,1857.0,George Gissing,The Odd Women,1893.0
1327,1862.0,Edith Wharton,The Valley of Decision,1902.0
1328,1848.0,Grant Allen,The British Barbarians,1895.0
1329,1870.0,Horace W. C. Newte,Sparrows: The Story of an Unprotected Girl,
1330,1823.0,Charlotte Mary Yonge,My Young Alcides: A Faded Photograph,1875.0
1331,1880.0,Kathleen Norris,"Poor, Dear Margaret Kirby",
1332,1869.0,George Randolph Chester,Five Thousand an Hour: How Johnny Gamble Won the Heiress,
1333,1856.0,L. Frank Baum,"Sky Island
Being the further exciting adventures of Trot and Cap'n Bill after their visit to the sea fairies",
1334,1856.0,L. Frank Baum,The Sea Fairies,1911.0
1335,1855.0,Marie Corelli,Vendetta: A Story of One Forgotten,
1336,1823.0,Charlotte Mary Yonge,The Lances of Lynwood,1864.0
1337,,Ambrose Bierce,Can Such Things Be?,1893.0
1338,1896.0,F. Scott Fitzgerald,Flappers and Philosophers,1920.0
1339,1873.0,Nellie L. McClung,Sowing Seeds in Danny,
1340,1870.0,Alice Caldwell Hegan Rice,Mrs. Wiggs of the Cabbage Patch,
1341,1858.0,E. Nesbit,In Homespun,
1342,1863.0,William John Locke,The Fortunate Youth,
1343,1870.0,Frank Norris,The Pit: A Story of Chicago,
1344,1880.0,Kathleen Norris,"Martie, the Unconquered",
1345,1850.0,Kirk Munroe,Wakulla: a story of adventure in Florida,
1346,1855.0,Marie Corelli,A Romance of Two Worlds: A Novel,
1347,1848.0,Grant Allen,The Woman Who Did,
1348,1867.0,John Galsworthy,The Forsyte Saga - Complete,
1349,1838.0,Francis Hopkinson Smith,The Tides of Barnegat,
1350,1879.0,Talbot Mundy,Hira Singh : when India came to fight in Flanders,
1351,1828.0,George Meredith,The Shaving of Shagpat; an Arabian entertainment,
1352,1828.0,George Meredith,The Ordeal of Richard Feverel — Volume 1,
1353,1828.0,George Meredith,The Ordeal of Richard Feverel,1859.0
1354,1828.0,George Meredith,Sandra Belloni (originally Emilia in England),
1355,1828.0,George Meredith,Rhoda Fleming,
1356,1828.0,George Meredith,Evan Harrington,1860.0
1357,1828.0,George Meredith,Vittoria,
1358,1828.0,George Meredith,The Adventures of Harry Richmond,1870.0
1359,1828.0,George Meredith,Beauchamp's Career,1875.0
1360,1828.0,George Meredith,The Tragic Comedians: A Study in a Well-known Story,
1361,1828.0,George Meredith,Diana of the Crossways,1885.0
1362,1828.0,George Meredith,One of Our Conquerors,1891.0
1363,1828.0,George Meredith,Lord Ormont and His Aminta,
1364,1828.0,George Meredith,The Amazing Marriage,
1365,1828.0,George Meredith,Celt and Saxon,
1366,1828.0,George Meredith,Complete Short Works of George Meredith,
1367,1833.0,James De Mille,Lost in the Fog,
1368,1862.0,Arthur Christopher Benson,Watersprings,
1369,1862.0,Edith Wharton,Tales of Men and Ghosts,
1370,1878.0,James Oliver Curwood,The Golden Snare,1918.0
1371,1838.0,Francis Hopkinson Smith,Peter: A Novel of Which He is Not the Hero,
1372,1862.0,Edith Wharton,Ethan Frome,1911.0
1373,1862.0,Edith Wharton,The Descent of Man and Other Stories,
1374,1885.0,D. H. Lawrence,Aaron's Rod,1922.0
1375,1857.0,George Gissing,Born in Exile,1892.0
1376,1859.0,Fergus Hume,The Secret Passage,
1377,,Victor Appleton,Tom Swift and His Photo Telephone or the Picture That Saved a Fortune,
1378,1810.0,Elizabeth Gaskell,Sylvia's Lovers — Volume 1,
1379,1810.0,Elizabeth Gaskell,Sylvia's Lovers — Volume 2,
1380,1810.0,Elizabeth Gaskell,Sylvia's Lovers — Volume 3,
1381,1810.0,Elizabeth Gaskell,Sylvia's Lovers,1982.0
1382,1878.0,James Oliver Curwood,Back to God's Country and Other Stories,
1383,1857.0,Charles M. Sheldon,In His Steps,
1384,1857.0,George Gissing,The Crown of Life,
1385,1861.0,Sara Jeannette Duncan,The Story of Sonny Sahib,1894.0
1386,1872.0,Zane Grey,The Border Legion,1916.0
1387,1811.0,William Makepeace Thackeray,Barry Lyndon,
1388,,C. F. Fraser,Master Sunshine,
1389,1876.0,Ottilie A. Liljencrantz,The Thrall of Leif the Lucky: A Story of Viking Days,
1390,1878.0,James Oliver Curwood,God's Country—And the Woman,
1391,1809.0,Timothy Shay Arthur,Danger,
1392,1809.0,Timothy Shay Arthur,Finger Posts on the Way of Life,
1393,1809.0,Timothy Shay Arthur,The Allen House,
1394,1809.0,Timothy Shay Arthur,All's for the Best,
1395,1809.0,Timothy Shay Arthur,After the Storm,
1396,1809.0,Timothy Shay Arthur,"After a shadow, and other stories",
1397,1809.0,Timothy Shay Arthur,Cast Adrift,
1398,,Timothy Shay Arthur,Friends and Neighbors,
1399,1809.0,Timothy Shay Arthur,Home Lights and Shadows,
1400,1809.0,Timothy Shay Arthur,Heart-Histories and Life-Pictures,
1401,1823.0,Charlotte Mary Yonge,Unknown to History: A Story of the Captivity of Mary of Scotland,
1402,1815.0,Anthony Trollope,The Small House at Allington,1862.0
1403,1837.0,William Dean Howells,A Hazard of New Fortunes,1890.0
1404,1864.0,Robert Hichens,In the Wilderness,
1405,1824.0,Wilkie Collins,Basil,
1406,1814.0,Charles Reade,It Is Never Too Late to Mend,1856.0
1407,1814.0,Charles Reade,"Love Me Little, Love Me Long",
1408,,Victor Appleton,"Tom Swift in Captivity, Or, A Daring Escape By Airship",
1409,1862.0,Arthur Christopher Benson,The Altar Fire,
1410,1809.0,Timothy Shay Arthur,"Lessons in Life, for All Who Will Read Them",
1411,1809.0,Timothy Shay Arthur,Woman's Trials,
1412,1809.0,Timothy Shay Arthur,Words for the Wise,
1413,1809.0,Timothy Shay Arthur,"Words of Cheer for the Tempted, the Toiling, and the Sorrowing",
1414,1809.0,Timothy Shay Arthur,The Two Wives,
1415,1809.0,Timothy Shay Arthur,Trials and Confessions of a Housekeeper,
1416,1809.0,Timothy Shay Arthur,The Son of My Friend,
1417,1809.0,Timothy Shay Arthur,"Off-Hand Sketches, a Little Dashed with Humor",
1418,1809.0,Timothy Shay Arthur,Lizzy Glenn,
1419,1809.0,Timothy Shay Arthur,Married Life; Its Shadows and Sunshine,
1420,1809.0,Timothy Shay Arthur,The Iron Rule,
1421,1809.0,Timothy Shay Arthur,Home Scenes and Home Influence; a series of tales and sketches,
1422,1809.0,Timothy Shay Arthur,The Hand but Not the Heart,
1423,1809.0,Timothy Shay Arthur,The Good Time Coming,
1424,1878.0,James Oliver Curwood,Philip Steele of the Royal Northwest Mounted Police,
1425,1860.0,Jennette Lee,Uncle William: The Man Who Was Shif'less,
1426,,Victor Appleton,Tom Swift and His Great Searchlight,1912.0
1427,1873.0,Inez Haynes Gillmore,Angel Island,
1428,1827.0,Cuthbert Bede,The Adventures of Mr. Verdant Green,
1429,1837.0,William Dean Howells,The Landlord at Lion's Head,
1430,1823.0,Charlotte Mary Yonge,Lady Hester,
1431,1832.0,Horatio Alger,Timothy Crump's Ward: A Story of American Life,
1432,1874.0,Thornton W. Burgess,Lightfoot the Deer,
1433,1836.0,Bret Harte,Tennessee's Partner,1869.0
1434,1820.0,Maturin M. Ballou,The Sea-Witch,
1435,1850.0,F. Colburn Adams,Our World,
1436,1850.0,F. Colburn Adams,Manuel Pereira,
1437,1872.0,Zane Grey,The U. P. Trail,
1438,1880.0,Kathleen Norris,Saturday's Child,
1439,1864.0,William Le Queux,Mademoiselle of Monte Carlo,
1440,1874.0,Thornton W. Burgess,Whitefoot the Wood Mouse,
1441,1878.0,James Oliver Curwood,The Flaming Forest,
1442,1878.0,James Oliver Curwood,Flower of the North: A Modern Romance,
1443,1878.0,James Oliver Curwood,Nomads of the North: A Story of Romance and Adventure under the Open Stars,
1444,1878.0,James Oliver Curwood,The Valley of Silent Men: A Story of the Three River Country,
1445,1866.0,George Barr McCutcheon,Brewster's Millions,1902.0
1446,,Victor Appleton,Tom Swift in the City of Gold,1912.0
1447,1865.0,Holman Day,The Landloper: The Romance of a Man on Foot,
1448,1860.0,Jennette Lee,Mr. Achilles,
1449,1848.0,Grant Allen,An African Millionaire: Episodes in the Life of the Illustrious Colonel Clay,
1450,1796.0,Major Richardson,Wacousta : a tale of the Pontiac conspiracy — Volume 1,
1451,1796.0,Major Richardson,Wacousta : a tale of the Pontiac conspiracy — Volume 2,
1452,1867.0,Finley Peter Dunne,Observations By Mr. Dooley,
1453,1870.0,Ethel Sybil Turner,Seven Little Australians,
1454,1865.0,Holman Day,When Egypt Went Broke: A Novel,
1455,1867.0,Arnold Bennett,The Grim Smile of the Five Towns,1907.0
1456,1872.0,Harold Bell Wright,The Shepherd of the Hills,1907.0
1457,1878.0,James Oliver Curwood,The Country Beyond: A Romance of the Wilderness,
1458,1809.0,Timothy Shay Arthur,Ten Nights in a Bar Room,
1459,1865.0,A. E. W. Mason,At the Villa Rose,
1460,1838.0,Francis Hopkinson Smith,Kennedy Square,
1461,1878.0,James Oliver Curwood,The River's End,1919.0
1462,1878.0,James Oliver Curwood,"Baree, Son of Kazan",1917.0
1463,1868.0,Helen Reimensnyder Martin,"Tillie, a Mennonite Maid; a Story of the Pennsylvania Dutch",
1464,1832.0,Louisa May Alcott,Work: A Story of Experience,1873.0
1465,,Josephine Lawrence,Brother and Sister,
1466,,Kathleen Norris,The Story of Julia Page,
1467,1871.0,Harold MacGrath,Half a Rogue,
1468,1832.0,G. A. Henty,In Freedom's Cause : A Story of Wallace and Bruce,
1469,,H. A. Adams,Dawn,
1470,1820.0,Maturin M. Ballou,"The Circassian Slave, or, the Sultan's favorite : a story of Constantinople and the Caucasus",
1471,1789.0,James Fenimore Cooper,Jack Tier,
1472,,Grant Allen,"Hilda Wade, a Woman with Tenacity of Purpose",
1473,1870.0,Joseph Crosby Lincoln,Galusha the Magnificent,
1474,1796.0,Major Richardson,Wacousta : a tale of the Pontiac conspiracy — Volume 3,
1475,1796.0,Major Richardson,Wacousta : a tale of the Pontiac conspiracy (Complete),
1476,1880.0,Kathleen Norris,The Heart of Rachael,
1477,1815.0,Anthony Trollope,The Kellys and the O'Kellys,1848.0
1478,,Homer Eon Flint,The Blind Spot,1951.0
1479,1883.0,Clarence Edward Mulford,Bar-20 Days,
1480,1878.0,Upton Sinclair,King Midas: a Romance,
1481,1867.0,David Graham Phillips,The Fashionable Adventures of Joshua Craig: A Novel,
1482,1832.0,G. A. Henty,Won By the Sword : a tale of the Thirty Years' War,
1483,1832.0,G. A. Henty,A Knight of the White Cross: A Tale of the Siege of Rhodes,
1484,,Josephine Chase,Grace Harlowe's Senior Year at High School,
1485,1823.0,Charlotte Mary Yonge,"Scenes and Characters, or, Eighteen Months at Beechcroft",
1486,1859.0,Fergus Hume,Madame Midas,
1487,1880.0,Kathleen Norris,Sisters,
1488,1820.0,Maturin M. Ballou,The Duke's Prize; a Story of Art and Heart in Florence,
1489,1820.0,Maturin M. Ballou,The Heart's Secret,
1490,1885.0,Sinclair Lewis,Our Mr. Wrenn: The Romantic Adventures of a Gentle Man,
1491,1815.0,Anthony Trollope,The Belton Estate,1865.0
1492,1874.0,Thornton W. Burgess,Blacky the Crow,
1493,1874.0,Thornton W. Burgess,Old Granny Fox,
1494,1850.0,Robert Barr,A Rock in the Baltic,
1495,1865.0,Robert W. Chambers,The Hidden Children,
1496,,Alice B. Emerson,Ruth Fielding of the Red Mill,
1497,,Laura Lee Hope,The Outdoor Girls at Rainbow Lake,
1498,,Laura Lee Hope,The Outdoor Girls at Wild Rose Lodge,
1499,1854.0,L. T. Meade,A Sweet Girl Graduate,1891.0
1500,,Harry Steele Morrison,The Adventures of a Boy Reporter,
1501,1861.0,Frank Gee Patchin,The Pony Rider Boys in New Mexico,
1502,1850.0,Louise Clarke Pyrnelle,"Diddie, Dumps, and Tot",
1503,1871.0,William MacLeod Raine,A Texas Ranger,
1504,,Roy Rockwood,Five Thousand Miles Underground,
1505,1862.0,Edward Stratemeyer,True to Himself,
1506,1857.0,Matthew White,Two Boys and a Fortune,
1507,1862.0,Edward Stratemeyer,The Rover Boys in Business,
1508,1862.0,Edward Stratemeyer,The Rover Boys in New York,
1509,,Clarence Young,The Motor Boys on the Pacific,
1510,1880.0,Kathleen Norris,Harriet and the Piper,
1511,1871.0,Samuel Hopkins Adams,The Unspeakable Perk,
1512,1863.0,William John Locke,The Morals of Marcus Ordeyne : a Novel,
1513,1873.0,Mary Raymond Shipman Andrews,The Whole Family: a Novel by Twelve Authors,
1514,1872.0,Zane Grey,The Rainbow Trail,1915.0
1515,1880.0,Arthur B. Reeve,The War Terror,
1516,1855.0,Marie Corelli,Ziska: The Problem of a Wicked Soul,1897.0
1517,1823.0,Charlotte Mary Yonge,Magnum Bonum,
1518,1745.0,Henry Mackenzie,The Man of Feeling,1771.0
1519,1846.0,Standish O'Grady,The Coming of Cuculain,
1520,1861.0,Sara Jeannette Duncan,The Path of a Star,
1521,1874.0,Thornton W. Burgess,The Adventures of Jerry Muskrat,
1522,1856.0,Henry A. Shute,The Real Diary of a Real Boy,
1523,1775.0,Walter Savage Landor,"Citation and Examination of William Shakspeare, Euseby Treen, Joseph Carnaby, and Silas Gough, Clerk",
1524,1815.0,Anthony Trollope,The American Senator,1877.0
1525,1846.0,Anna Katharine Green,Dark Hollow,
1526,1862.0,John Fox,The Trail of the Lonesome Pine,1908.0
1527,1823.0,Charlotte Mary Yonge,Henrietta's Wish,
1528,1832.0,G. A. Henty,The Young Carthaginian: A Story of The Times of Hannibal,
1529,1869.0,Vaughan Kester,The Prodigal Judge,1911.0
1530,1815.0,Anthony Trollope,He Knew He Was Right,1869.0
1531,1866.0,George Barr McCutcheon,Graustark,
1532,1859.0,Arthur Conan Doyle,Rodney Stone,1896.0
1533,1879.0,Talbot Mundy,Rung Ho! A Novel,
1534,1831.0,Ignatius Donnelly,Cæsar's Column: A Story of the Twentieth Century,
1535,1823.0,Charlotte Mary Yonge,Beechcroft at Rockstone,1888.0
1536,1857.0,Richard Marsh,The Beetle: A Mystery,
1537,1796.0,Major Richardson,Hardscrabble,
1538,1876.0,Gouverneur Morris,Aladdin O'Brien,
1539,1856.0,H. Rider Haggard,Allan and the Holy Flower,1915.0
1540,1856.0,H. Rider Haggard,Pearl-Maiden: A Tale of the Fall of Jerusalem,
1541,1810.0,Thomas Adolphus Trollope,A Siren,
1542,1729.0,Clara Reeve,The Old English Baron: a Gothic Story,
1543,1822.0,W. H. Rhodes,The Case of Summerfield,
1544,1870.0,Joseph Crosby Lincoln,Cape Cod Stories,
1545,1875.0,Charlotte B. Herr,Their Mariposa Legend: A Romance of Santa Catalina,
1546,1862.0,Joseph A. Altsheler,The Guns of Shiloh: A Story of the Great Western Campaign,
1547,1856.0,H. Rider Haggard,"Ayesha, the Return of She",
1548,1838.0,Francis Hopkinson Smith,Felix O'Day,
1549,1866.0,H. G. Wells,The Invisible Man: A Grotesque Romance,
1550,1815.0,Anthony Trollope,The Way We Live Now,1875.0
1551,1877.0,Rex Beach,The Iron Trail,
1552,,Charles James Lever,The Confessions of Harry Lorrequer — Volume 1,
1553,,Charles James Lever,The Confessions of Harry Lorrequer — Volume 2,
1554,,Charles James Lever,The Confessions of Harry Lorrequer — Volume 3,
1555,,Charles James Lever,The Confessions of Harry Lorrequer — Volume 4,
1556,,Charles James Lever,The Confessions of Harry Lorrequer — Volume 5,
1557,,Charles James Lever,The Confessions of Harry Lorrequer — Volume 6,
1558,,Charles James Lever,The Confessions of Harry Lorrequer,
1559,1823.0,Charlotte Mary Yonge,The Long Vacation,
1560,1879.0,Vingie E. Roe,The Maid of the Whispering Hills,
1561,1707.0,Henry Fielding,The History of the Life of the Late Mr. Jonathan Wild the Great,
1562,1859.0,Arthur Conan Doyle,"A Duet, with an Occasional Chorus",
1563,1880.0,Arthur B. Reeve,Constance Dunlap,
1564,1874.0,G. K. Chesterton,The Ball and the Cross,1909.0
1565,1871.0,Theodore Dreiser,Sister Carrie,1900.0
1566,1875.0,Arthur Cheney Train,Courts and Criminals,
1567,1861.0,Sara Jeannette Duncan,The Imperialist,
1568,1850.0,Charles Egbert Craddock,Down the Ravine,
1569,1863.0,J. S. Fletcher,The Paradise Mystery,1920.0
1570,1890.0,Christopher Morley,Parnassus on Wheels,1917.0
1571,1823.0,Charlotte Mary Yonge,The Herd Boy and His Hermit,
1572,1879.0,Talbot Mundy,Told in the East,
1573,1831.0,William Hale White,Mark Rutherford's Deliverance,
1574,1874.0,Lucy Maud Montgomery,Further Chronicles of Avonlea,1920.0
1575,1874.0,Lucy Maud Montgomery,Kilmeny of the Orchard,1910.0
1576,1874.0,Lucy Maud Montgomery,The Story Girl,1911.0
1577,1874.0,Lucy Maud Montgomery,Rainbow Valley,1919.0
1578,1879.0,Dorothy Canfield Fisher,Understood Betsy,1916.0
1579,1832.0,Horatio Alger,"Ragged Dick, Or, Street Life in New York with the Boot-Blacks",
1580,1866.0,George Barr McCutcheon,Castle Craneycrow,
1581,1832.0,Louisa May Alcott,Marjorie's Three Gifts,
1582,1871.0,Winston Churchill,The Inside of the Cup,1913.0
1583,1871.0,Winston Churchill,Richard Carvel,1899.0
1584,1871.0,Winston Churchill,A Modern Chronicle,1910.0
1585,1871.0,Winston Churchill,The Celebrity,1919.0
1586,1871.0,Winston Churchill,The Crisis,1901.0
1587,1832.0,Horatio Alger,"Struggling Upward, or Luke Larkin's Luck",
1588,1878.0,Upton Sinclair,The Metropolis,
1589,1875.0,Katherine Cecil Thurston,The Masquerader,
1590,1836.0,Thomas Bailey Aldrich,The Stillwater Tragedy,
1591,1807.0,Henry Wadsworth Longfellow,Hyperion,
1592,1841.0,Juliana Horatia Ewing,Jan of the Windmill: A Story of the Plains,1876.0
1593,1861.0,Henry Harland,The Cardinal's Snuff-Box,1900.0
1594,1830.0,Marion Harland,At Last: A Novel,
1595,1832.0,Horatio Alger,The Young Explorer,
1596,1872.0,Gertrude Page,Winding Paths,
1597,1815.0,Anthony Trollope,Harry Heathcote of Gangoil: A Tale of Australian Bush-Life,
1598,1864.0,Richard Harding Davis,Ranson's Folly,1902.0
1599,1857.0,Joseph Conrad,Lord Jim,1900.0
1600,,Ambrose Bierce,"A Son of the Gods, and A Horseman in the Sky",
1601,,Lucia Prudence Hall Woodbury,The Potato Child & Others,
1602,1832.0,Horatio Alger,The Young Musician,
1603,1832.0,Horatio Alger,"Hector's Inheritance, Or, the Boys of Smith Institute",
1604,1824.0,George MacDonald,A Double Story,
1605,1878.0,Upton Sinclair,Jimmie Higgins,
1606,1883.0,Sax Rohmer,Tales of Chinatown,
1607,1823.0,Charlotte Mary Yonge,Love and Life: An Old Story in Eighteenth Century Costume,
1608,1869.0,Louise Lamprey,Masters of the Guild,
1609,1888.0,Homer Eon Flint,The Lord of Death and the Queen of Life,
1610,1823.0,Charlotte Mary Yonge,"Stray Pearls: Memoirs of Margaret De Ribaumont, Viscountess of Bellaise",
1611,1865.0,Paul Leicester Ford,Janice Meredith: A Story of the American Revolution,
1612,1880.0,Peter B. Kyne,The Valley of the Giants,
1613,,Mary C. E. Wemyss,The Professional Aunt,
1614,1876.0,Jack London,Smoke Bellew,1912.0
1615,1880.0,Peter B. Kyne,Cappy Ricks,
1616,1856.0,H. Rider Haggard,She and Allan,1921.0
1617,1856.0,H. Rider Haggard,The Ancient Allan,1920.0
1618,1832.0,Horatio Alger,Do and Dare — a Brave Boy's Fight for Fortune,
1619,1856.0,H. Rider Haggard,"Lysbeth, a Tale of the Dutch",
1620,1831.0,Amelia E. Barr,The Maid of Maiden Lane,
1621,1863.0,W. W. Jacobs,Many Cargoes,
1622,1856.0,H. Rider Haggard,Doctor Therne,1898.0
1623,1824.0,George MacDonald,Annals of a Quiet Neighbourhood,1866.0
1624,1878.0,Upton Sinclair,They Call Me Carpenter: A Tale of the Second Coming,
1625,1878.0,Upton Sinclair,100%: the Story of a Patriot,
1626,1865.0,Rudyard Kipling,Life's Handicap: Being Stories of Mine Own People,
1627,1832.0,Horatio Alger,Try and Trust,
1628,1835.0,Mark Twain,A Tramp Abroad — Volume 01,
1629,1835.0,Mark Twain,A Tramp Abroad — Volume 02,
1630,1835.0,Mark Twain,A Tramp Abroad — Volume 03,
1631,1835.0,Mark Twain,A Tramp Abroad — Volume 04,
1632,1835.0,Mark Twain,A Tramp Abroad — Volume 05,
1633,1835.0,Mark Twain,A Tramp Abroad — Volume 06,
1634,1835.0,Mark Twain,A Tramp Abroad — Volume 07,
1635,1874.0,Thornton W. Burgess,Mrs. Peter Rabbit,
1636,1865.0,W. B. Yeats,Stories of Red Hanrahan,
1637,1865.0,W. B. Yeats,Rosa Alchemica,
1638,1865.0,W. B. Yeats,The Secret Rose,
1639,1878.0,Upton Sinclair,Sylvia's Marriage: A Novel,
1640,1829.0,Mark Twain,"The Gilded Age, Part 1.",
1641,1829.0,Mark Twain,"The Gilded Age, Part 2.",
1642,1829.0,Mark Twain,"The Gilded Age, Part 3.",
1643,1829.0,Mark Twain,"The Gilded Age, Part 4.",
1644,1829.0,Mark Twain,"The Gilded Age, Part 5.",
1645,1829.0,Mark Twain,"The Gilded Age, Part 6.",
1646,1829.0,Mark Twain,"The Gilded Age, Part 7.",
1647,1860.0,Mary Raymond Shipman Andrews,The Courage of the Commonplace,
1648,1840.0,Edward Sylvester Ellis,In the Pecos Country,
1649,1878.0,Upton Sinclair,The Moneychangers,
1650,1832.0,Louisa May Alcott,A Garland for Girls,1887.0
1651,1848.0,Grant Allen,Recalled to Life,
1652,1832.0,Horatio Alger,Helping Himself,
1653,1856.0,Nora Archibald Smith,The Story Hour: A Book for the Home and the Kindergarten,
1654,1835.0,Mark Twain,"Sketches New and Old, Part 1.",
1655,1835.0,Mark Twain,"Sketches New and Old, Part 2.",
1656,1835.0,Mark Twain,"Sketches New and Old, Part 3.",
1657,1835.0,Mark Twain,"Sketches New and Old, Part 4.",
1658,1835.0,Mark Twain,"Sketches New and Old, Part 5.",
1659,1835.0,Mark Twain,"Sketches New and Old, Part 6.",
1660,1835.0,Mark Twain,"Sketches New and Old, Part 7.",
1661,1823.0,Charlotte Mary Yonge,The Young Step-Mother,
1662,1874.0,Thornton W. Burgess,The Adventures of Johnny Chuck,
1663,1874.0,Thornton W. Burgess,The Adventures of Poor Mrs. Quack,
1664,1866.0,George Barr McCutcheon,The Flyers,
1665,1866.0,George Barr McCutcheon,Yollop,
1666,1796.0,Horatio Alger,Nothing to Eat,
1667,1848.0,Grant Allen,Michael's Crag,
1668,1866.0,George Barr McCutcheon,Green Fancy,
1669,1856.0,Bernard Shaw,Cashel Byron's Profession,
1670,1866.0,George Barr McCutcheon,Her Weight in Gold,
1671,1815.0,Anthony Trollope,Castle Richmond,1860.0
1672,1856.0,H. Rider Haggard,Jess,1887.0
1673,,A. Frank Pinkerton,Dyke Darrel the Railroad Detective,
1674,1771.0,Walter Scott,The Fortunes of Nigel,1822.0
