,birthyear,author,title,pub_year
913,1865.0,Rudyard Kipling,The Day's Work,1898.0
914,1823.0,Charlotte Mary Yonge,The Caged Lion,1869.0
915,1836.0,Bret Harte,On the Frontier,
916,1867.0,John Galsworthy,"The Forsyte Saga, Volume II.
Indian Summer of a Forsyte
In Chancery",
917,1869.0,Booth Tarkington,Ramsey Milholland,
918,1867.0,John Galsworthy,"The Forsyte Saga, Volume III.
Awakening
To Let",
919,1836.0,Bret Harte,Mrs. Skagg's Husbands and Other Stories,
920,1836.0,Bret Harte,Urban Sketches,
921,1836.0,Bret Harte,Legends and Tales,
922,1823.0,Charlotte Mary Yonge,Heartsease,
923,1856.0,H. Rider Haggard,Queen Sheba's Ring,1910.0
924,1879.0,E. M. Forster,The Longest Journey,1907.0
925,1823.0,Charlotte Mary Yonge,The Pigeon Pie,
926,1862.0,John Kendrick Bangs,A House-Boat on the Styx,1895.0
927,1836.0,Bret Harte,Clarence,
928,1875.0,Rafael Sabatini,The Historical Nights' Entertainment: First Series,
929,1867.0,John Galsworthy,"Villa Rubein, and Other Stories",
930,1879.0,E. M. Forster,A Room with a View,1908.0
931,1860.0,Eugene Wood,Back Home,
932,1836.0,Bret Harte,The Story of a Mine,
933,1840.0,Thomas Hardy,Under the Greenwood Tree,1872.0
934,1803.0,Edward Bulwer Lytton Lytton,Zanoni,
935,1809.0,Oliver Wendell Holmes,The Professor at the Breakfast-Table,
936,1809.0,Oliver Wendell Holmes,The Poet at the Breakfast-Table,
937,,Oliver Goldsmith,The Vicar of Wakefield,1766.0
938,1811.0,William Makepeace Thackeray,Burlesques,
939,1836.0,Bret Harte,"The Bell-Ringer of Angel's, and Other Stories",
940,1867.0,John Galsworthy,Saint's Progress,1919.0
941,1867.0,John Galsworthy,Five Tales,
942,1857.0,Margaret Wade Campbell Deland,The Way to Peace,
943,1875.0,Rafael Sabatini,The Snare,
944,1875.0,Edgar Wallace,The Clue of the Twisted Candle,
945,,Annie Roe Carr,Nan Sherwood at Pine Camp,
946,1836.0,Bret Harte,"A Protegee of Jack Hamlin's, and Other Stories",
947,1863.0,Eleanor Atkinson,Greyfriars Bobby,
948,1819.0,Herman Melville,I and My Chimney,
949,1836.0,Bret Harte,Jeff Briggs's Love Story,
950,1809.0,Oliver Wendell Holmes,Elsie Venner,
951,1809.0,Oliver Wendell Holmes,The Guardian Angel,
